"","age_group_from","age_group_to","contacts"
"1","[0,3)","[0,3)",1.79294972276882
"2","[0,3)","[3,5)",0.80079089362119
"3","[0,3)","[5,10)",0.857580693317933
"4","[0,3)","[10,15)",0.37066384923008
"5","[0,3)","[15,18)",0.127896228276413
"6","[0,3)","[18,40)",3.93476863988091
"7","[0,3)","[40,65)",1.90886768932786
"8","[0,3)","[65,Inf)",0.130317695000333
"9","[3,5)","[0,3)",1.20332213579889
"10","[3,5)","[3,5)",3.59189810796144
"11","[3,5)","[5,10)",2.39797857720561
"12","[3,5)","[10,15)",0.635123949322883
"13","[3,5)","[15,18)",0.165512771381861
"14","[3,5)","[18,40)",3.54052930183615
"15","[3,5)","[40,65)",2.37695999622431
"16","[3,5)","[65,Inf)",0.328688620647769
"17","[5,10)","[0,3)",0.499544520275422
"18","[5,10)","[3,5)",0.929569194663427
"19","[5,10)","[5,10)",8.96113313045561
"20","[5,10)","[10,15)",2.51574367918066
"21","[5,10)","[15,18)",0.327627357776
"22","[5,10)","[18,40)",2.79607301030481
"23","[5,10)","[40,65)",2.2783023691097
"24","[5,10)","[65,Inf)",0.370485374976278
"25","[10,15)","[0,3)",0.203675595477548
"26","[10,15)","[3,5)",0.23224933154507
"27","[10,15)","[5,10)",2.37315415135595
"28","[10,15)","[10,15)",14.1244981668221
"29","[10,15)","[15,18)",2.08786810127846
"30","[10,15)","[18,40)",3.58109440959795
"31","[10,15)","[40,65)",2.62809030990866
"32","[10,15)","[65,Inf)",0.234414312733966
"33","[15,18)","[0,3)",0.120093527855256
"34","[15,18)","[3,5)",0.103426206624487
"35","[15,18)","[5,10)",0.528132411424051
"36","[15,18)","[10,15)",3.56784650138007
"37","[15,18)","[15,18)",8.54771480378103
"38","[15,18)","[18,40)",5.90730339993307
"39","[15,18)","[40,65)",2.87783556219111
"40","[15,18)","[65,Inf)",0.185576423975335
"41","[18,40)","[0,3)",0.551234930290167
"42","[18,40)","[3,5)",0.330082835547247
"43","[18,40)","[5,10)",0.67246058131519
"44","[18,40)","[10,15)",0.913007900883937
"45","[18,40)","[15,18)",0.881342959625757
"46","[18,40)","[18,40)",8.5661812862151
"47","[18,40)","[40,65)",4.04408569234654
"48","[18,40)","[65,Inf)",0.355427548930479
"49","[40,65)","[0,3)",0.297212721998194
"50","[40,65)","[3,5)",0.246292201624537
"51","[40,65)","[5,10)",0.608980976015593
"52","[40,65)","[10,15)",0.744685829786237
"53","[40,65)","[15,18)",0.477194772612604
"54","[40,65)","[18,40)",4.49463458622258
"55","[40,65)","[40,65)",4.64335567458184
"56","[40,65)","[65,Inf)",0.5928078366802
"57","[65,Inf)","[0,3)",0.082105482854905
"58","[65,Inf)","[3,5)",0.137813149687758
"59","[65,Inf)","[5,10)",0.400719645335493
"60","[65,Inf)","[10,15)",0.268778255916758
"61","[65,Inf)","[15,18)",0.124517303074878
"62","[65,Inf)","[18,40)",1.59846204259781
"63","[65,Inf)","[40,65)",2.39878396804257
"64","[65,Inf)","[65,Inf)",1.1429812264754
